Options:
Model:                           MultiState
Tree File Name:                  Artiodactyl.trees
Data File Name:                  Artiodactyl.txt
Log File Name:                   Artiodactyl.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1252195407
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   Artiodactyl.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Base frequency (PI's):           None
Character Symbols:               D,G
Using a covarion model:          False
Normalise Q Matrix:              False
Tags:	1
	AncTag	5	Sheep Goat Cow Buffalo Pronghorn 
Restrictions:
    qDG                          None
    qGD                          qDG
Prior Information:
    Prior Categories:            100
    Priors
        qDG - exp 1.00 
Node reconstruction / fossilisation:
	MRCA RecNode AncTag
Tree Information
     Trees:                      500
     Taxa:                       17
     Sites:                      1
     States:                     2
Iteration	Lh	Tree No	qDG	qGD	Root P(D)	Root P(G)	RecNode P(D)	RecNode P(G)	
2697000	-7.803288	92	4.143600	4.143600	0.058588	0.941412	0.989748	0.010252	
2698000	-7.608088	439	5.342253	5.342253	0.175794	0.824206	0.981659	0.018341	
2699000	-10.055736	305	0.867046	0.867046	0.004761	0.995239	0.988378	0.011622	
2700000	-7.863117	335	2.480479	2.480479	0.058471	0.941529	0.990570	0.009430	
2701000	-8.795822	378	2.123909	2.123909	0.036788	0.963212	0.990774	0.009226	
2702000	-8.572046	471	1.955178	1.955178	0.020558	0.979442	0.988066	0.011934	
2703000	-9.431291	258	1.317082	1.317082	0.014100	0.985900	0.991832	0.008168	
2704000	-8.587499	326	1.933594	1.933594	0.021856	0.978144	0.976145	0.023855	
2705000	-8.545798	403	1.605930	1.605930	0.043233	0.956767	0.836368	0.163632	
2706000	-7.989197	357	2.957166	2.957166	0.038388	0.961612	0.994290	0.005710	
2707000	-9.650175	277	1.280040	1.280040	0.034484	0.965516	0.826023	0.173977	
2708000	-7.238059	59	6.255587	6.255587	0.214716	0.785284	0.887870	0.112130	
2709000	-8.544677	149	2.607330	2.607330	0.028856	0.971144	0.984810	0.015190	
2710000	-10.244288	360	0.915546	0.915546	0.004555	0.995445	0.998508	0.001492	
2711000	-9.790569	114	0.903329	0.903329	0.005842	0.994158	0.910005	0.089995	
2712000	-7.947179	368	2.834516	2.834516	0.047341	0.952659	0.977475	0.022525	
2713000	-8.614137	117	2.314774	2.314774	0.061955	0.938045	0.987614	0.012386	
2714000	-8.420196	417	2.781830	2.781830	0.041541	0.958459	0.994891	0.005109	
2715000	-8.638015	479	2.141791	2.141791	0.044301	0.955699	0.835119	0.164881	
2716000	-7.276068	145	2.540786	2.540786	0.051977	0.948023	0.845782	0.154218	
2717000	-8.063184	206	4.412925	4.412925	0.162144	0.837856	0.983086	0.016914	
2718000	-9.925566	353	1.223906	1.223906	0.012386	0.987614	0.995584	0.004416	
2719000	-7.388398	43	4.680989	4.680989	0.248535	0.751465	0.977155	0.022845	
2720000	-7.935673	394	3.404861	3.404861	0.084364	0.915636	0.997344	0.002656	
2721000	-8.311936	8	2.555096	2.555096	0.087411	0.912589	0.957047	0.042953	
2722000	-8.952274	455	2.563627	2.563627	0.099111	0.900889	0.975197	0.024803	
2723000	-8.304658	80	1.938002	1.938002	0.028322	0.971678	0.980574	0.019426	
2724000	-7.685286	56	2.713768	2.713768	0.049646	0.950354	0.992345	0.007655	
2725000	-7.578948	156	3.617196	3.617196	0.094448	0.905552	0.996945	0.003055	
2726000	-9.127154	182	1.483797	1.483797	0.038780	0.961220	0.987596	0.012404	
2727000	-7.586951	351	4.761026	4.761026	0.135815	0.864185	0.971172	0.028828	
2728000	-7.412422	405	5.848543	5.848543	0.223430	0.776570	0.976555	0.023445	
2729000	-8.898679	330	1.983997	1.983997	0.054790	0.945210	0.686658	0.313342	
2730000	-9.409570	248	1.623965	1.623965	0.019255	0.980745	0.990169	0.009831	
2731000	-7.170022	189	4.861179	4.861179	0.224667	0.775333	0.984350	0.015650	
2732000	-8.396126	125	1.369145	1.369145	0.023292	0.976708	0.998595	0.001405	
2733000	-7.514544	281	5.200075	5.200075	0.114798	0.885202	0.975873	0.024127	
2734000	-8.210975	114	1.950033	1.950033	0.026350	0.973650	0.907392	0.092608	
2735000	-9.773763	28	1.336329	1.336329	0.013342	0.986658	0.996270	0.003730	
2736000	-9.153267	57	1.491291	1.491291	0.009215	0.990785	0.990613	0.009387	
2737000	-7.606461	342	3.104318	3.104318	0.091579	0.908421	0.984179	0.015821	
2738000	-8.986024	385	1.285495	1.285495	0.018372	0.981628	0.998274	0.001726	
2739000	-9.681134	122	1.319176	1.319176	0.014750	0.985250	0.998755	0.001245	
2740000	-9.807118	329	1.131415	1.131415	0.024023	0.975977	0.990515	0.009485	
2741000	-10.646439	378	0.897240	0.897240	0.007001	0.992999	0.996283	0.003717	
2742000	-7.453768	199	4.826668	4.826668	0.215266	0.784734	0.997580	0.002420	
2743000	-8.989926	456	2.203750	2.203750	0.042092	0.957908	0.997334	0.002666	
2744000	-7.814199	59	2.551898	2.551898	0.051628	0.948372	0.905307	0.094693	
2745000	-8.996233	340	2.785159	2.785159	0.093612	0.906388	0.882961	0.117039	
2746000	-7.193538	278	9.635322	9.635322	0.340500	0.659500	0.984670	0.015330	
2747000	-8.226210	375	2.479226	2.479226	0.036890	0.963110	0.996721	0.003279	
2748000	-9.415581	311	2.112110	2.112110	0.054683	0.945317	0.631459	0.368541	
2749000	-7.789337	158	3.079225	3.079225	0.092616	0.907384	0.980812	0.019188	
2750000	-8.414086	481	2.193824	2.193824	0.091557	0.908443	0.993251	0.006749	
2751000	-7.762609	299	4.035346	4.035346	0.167331	0.832669	0.981357	0.018643	
2752000	-9.060617	127	1.772282	1.772282	0.023943	0.976057	0.618246	0.381754	
2753000	-8.761226	431	1.395936	1.395936	0.013106	0.986894	0.996924	0.003076	
2754000	-9.362793	380	1.686207	1.686207	0.019432	0.980568	0.995892	0.004108	
2755000	-9.552035	33	1.322871	1.322871	0.019939	0.980061	0.920088	0.079912	
2756000	-8.131710	2	1.964385	1.964385	0.046331	0.953669	0.990720	0.009280	
2757000	-11.046198	479	0.654290	0.654290	0.004459	0.995541	0.840852	0.159148	
2758000	-7.571249	59	3.131485	3.131485	0.074441	0.925559	0.902829	0.097171	
2759000	-8.942090	52	1.395073	1.395073	0.020865	0.979135	0.995445	0.004555	
2760000	-8.067307	232	1.922159	1.922159	0.029337	0.970663	0.989824	0.010176	
2761000	-10.906406	407	0.506670	0.506670	0.004044	0.995956	0.998370	0.001630	
2762000	-8.741028	124	1.327659	1.327659	0.020658	0.979342	0.993556	0.006444	
2763000	-7.783798	393	3.953346	3.953346	0.117597	0.882403	0.971512	0.028488	
2764000	-10.136954	362	1.362548	1.362548	0.055068	0.944932	0.985162	0.014838	
2765000	-8.931945	200	1.726389	1.726389	0.023614	0.976386	0.996099	0.003901	
2766000	-8.692899	216	3.457736	3.457736	0.108349	0.891651	0.991172	0.008828	
2767000	-9.086399	280	1.748401	1.748401	0.028507	0.971493	0.818488	0.181512	
2768000	-7.830852	384	4.325337	4.325337	0.135736	0.864264	0.967813	0.032187	
2769000	-9.176101	145	0.813331	0.813331	0.006197	0.993803	0.856350	0.143650	
2770000	-8.811719	102	1.427167	1.427167	0.015745	0.984255	0.987572	0.012428	
2771000	-8.328980	205	2.325019	2.325019	0.048826	0.951174	0.811778	0.188222	
2772000	-7.709209	51	4.366124	4.366124	0.173840	0.826160	0.969625	0.030375	
2773000	-7.954053	493	2.346480	2.346480	0.057641	0.942359	0.978848	0.021152	
2774000	-7.624700	73	4.894332	4.894332	0.144358	0.855642	0.964646	0.035354	
2775000	-7.721066	403	3.548985	3.548985	0.163525	0.836475	0.818837	0.181163	
2776000	-8.653423	62	1.976110	1.976110	0.041424	0.958576	0.997196	0.002804	
2777000	-9.629307	284	1.140655	1.140655	0.013765	0.986235	0.993017	0.006983	
2778000	-7.309954	189	3.562607	3.562607	0.146629	0.853371	0.989454	0.010546	
2779000	-8.544500	195	1.396212	1.396212	0.011998	0.988002	0.991866	0.008134	
2780000	-7.439350	232	3.274751	3.274751	0.077875	0.922125	0.982375	0.017625	
2781000	-10.007122	198	0.807056	0.807056	0.007666	0.992334	0.997184	0.002816	
2782000	-7.963255	191	3.690897	3.690897	0.056212	0.943788	0.717539	0.282461	
2783000	-7.965921	321	2.404214	2.404214	0.074631	0.925369	0.996289	0.003711	
2784000	-7.656261	58	4.249864	4.249864	0.111134	0.888866	0.890230	0.109770	
2785000	-8.515287	442	2.860278	2.860278	0.087285	0.912715	0.959155	0.040845	
2786000	-7.909010	171	3.562152	3.562152	0.111770	0.888230	0.993561	0.006439	
2787000	-7.985991	239	3.465564	3.465564	0.132809	0.867191	0.994051	0.005949	
2788000	-9.878502	55	1.136753	1.136753	0.010030	0.989970	0.999019	0.000981	
2789000	-9.256596	220	1.460180	1.460180	0.018339	0.981661	0.990441	0.009559	
2790000	-8.835791	398	2.924639	2.924639	0.051679	0.948321	0.996527	0.003473	
2791000	-8.606651	232	1.404920	1.404920	0.016103	0.983897	0.992604	0.007396	
2792000	-7.569987	203	3.845709	3.845709	0.116824	0.883176	0.998130	0.001870	
2793000	-12.560179	468	0.387729	0.387729	0.004194	0.995806	0.995396	0.004604	
2794000	-8.676541	298	2.777447	2.777447	0.079681	0.920319	0.979448	0.020552	
2795000	-7.522441	72	5.731431	5.731431	0.254069	0.745931	0.944201	0.055799	
2796000	-8.017279	327	4.217584	4.217584	0.133458	0.866542	0.971409	0.028591	
2797000	-10.639279	107	0.770629	0.770629	0.006417	0.993583	0.871262	0.128738	
2798000	-8.537448	498	3.217579	3.217579	0.124103	0.875897	0.997413	0.002587	
2799000	-7.910465	196	3.888791	3.888791	0.098070	0.901930	0.953235	0.046765	
2800000	-8.513480	10	1.580125	1.580125	0.030924	0.969076	0.984127	0.015873	
2801000	-8.014998	168	3.307101	3.307101	0.130356	0.869644	0.978789	0.021211	
2802000	-9.752465	497	0.999079	0.999079	0.012221	0.987779	0.997965	0.002035	
2803000	-7.932343	358	4.725715	4.725715	0.162917	0.837083	0.959248	0.040752	
2804000	-7.975481	352	2.254390	2.254390	0.060850	0.939150	0.996185	0.003815	
2805000	-9.073978	43	1.150926	1.150926	0.027916	0.972084	0.994656	0.005344	
2806000	-8.922474	249	3.343342	3.343342	0.108667	0.891333	0.995925	0.004075	
2807000	-7.744275	12	1.917604	1.917604	0.037356	0.962644	0.893652	0.106348	
2808000	-8.746059	484	1.315112	1.315112	0.017335	0.982665	0.994039	0.005961	
2809000	-8.021232	86	1.896406	1.896406	0.027666	0.972334	0.991450	0.008550	
2810000	-8.911704	326	1.612683	1.612683	0.015363	0.984637	0.980297	0.019703	
2811000	-8.220300	296	2.023847	2.023847	0.039772	0.960228	0.968190	0.031810	
2812000	-8.507515	168	2.104060	2.104060	0.060063	0.939937	0.987682	0.012318	
2813000	-7.890205	60	4.408839	4.408839	0.182921	0.817079	0.952071	0.047929	
2814000	-8.585835	170	2.104160	2.104160	0.036182	0.963818	0.990806	0.009194	
2815000	-8.352365	462	1.846276	1.846276	0.022198	0.977802	0.991066	0.008934	
2816000	-7.349833	135	3.234428	3.234428	0.127163	0.872837	0.990004	0.009996	
2817000	-7.814608	63	2.532980	2.532980	0.031879	0.968121	0.989117	0.010883	
2818000	-12.077231	254	0.503829	0.503829	0.003399	0.996601	0.993196	0.006804	
2819000	-8.150802	135	1.722389	1.722389	0.054835	0.945165	0.995366	0.004634	
2820000	-9.193953	390	1.164343	1.164343	0.022616	0.977384	0.994908	0.005092	
2821000	-7.700977	319	4.567247	4.567247	0.214063	0.785937	0.992769	0.007231	
2822000	-8.550101	53	1.929344	1.929344	0.027199	0.972801	0.993295	0.006705	
2823000	-7.666523	488	4.898635	4.898635	0.235817	0.764183	0.959892	0.040108	
2824000	-7.774878	174	4.414794	4.414794	0.129947	0.870053	0.813023	0.186977	
2825000	-7.773037	241	2.350682	2.350682	0.042474	0.957526	0.995924	0.004076	
2826000	-7.977340	342	2.330494	2.330494	0.056072	0.943928	0.988321	0.011679	
2827000	-8.934991	421	1.371263	1.371263	0.018840	0.981160	0.994512	0.005488	
2828000	-8.857928	65	1.571214	1.571214	0.020773	0.979227	0.996065	0.003935	
2829000	-8.666406	438	1.707889	1.707889	0.020690	0.979310	0.860698	0.139302	
2830000	-7.867241	124	2.323763	2.323763	0.059247	0.940753	0.988392	0.011608	
2831000	-8.061342	346	3.676536	3.676536	0.101704	0.898296	0.821122	0.178878	
2832000	-10.988181	199	0.514980	0.514980	0.003842	0.996158	0.999991	0.000009	
2833000	-7.736549	480	3.208859	3.208859	0.092972	0.907028	0.991987	0.008013	
2834000	-9.289120	435	1.447213	1.447213	0.026859	0.973141	0.995851	0.004149	
2835000	-8.434651	134	2.180085	2.180085	0.046793	0.953207	0.777558	0.222442	
2836000	-8.392643	31	2.586635	2.586635	0.060296	0.939704	0.983701	0.016299	
2837000	-8.984041	448	1.930273	1.930273	0.079511	0.920489	0.998948	0.001052	
2838000	-9.187000	425	2.128200	2.128200	0.069562	0.930438	0.786463	0.213537	
2839000	-9.047923	420	1.578907	1.578907	0.020032	0.979968	0.994471	0.005529	
2840000	-8.359819	309	2.594687	2.594687	0.046797	0.953203	0.986896	0.013104	
2841000	-8.157168	342	2.073567	2.073567	0.045599	0.954401	0.989667	0.010333	
2842000	-7.739899	352	2.921929	2.921929	0.096405	0.903595	0.993580	0.006420	
2843000	-8.811978	240	1.497556	1.497556	0.016723	0.983277	0.846791	0.153209	
2844000	-7.752923	322	3.064543	3.064543	0.084990	0.915010	0.799208	0.200792	
2845000	-8.665853	369	1.725423	1.725423	0.025641	0.974359	0.925249	0.074751	
2846000	-8.477457	250	1.746833	1.746833	0.031050	0.968950	0.992949	0.007051	
2847000	-9.555119	106	1.201814	1.201814	0.014109	0.985891	0.995038	0.004962	
2848000	-10.757244	52	0.606755	0.606755	0.004055	0.995945	0.998278	0.001722	
2849000	-8.461239	200	2.269553	2.269553	0.039537	0.960463	0.994651	0.005349	
2850000	-9.537450	264	1.536348	1.536348	0.025178	0.974822	0.999540	0.000460	
2851000	-7.966950	275	5.711219	5.711219	0.277223	0.722777	0.961454	0.038546	
2852000	-7.449157	145	2.154431	2.154431	0.038431	0.961569	0.848195	0.151805	
2853000	-11.012686	439	0.732966	0.732966	0.004499	0.995501	0.997819	0.002181	
2854000	-8.236952	425	4.227713	4.227713	0.200297	0.799703	0.785251	0.214749	
2855000	-9.955327	326	0.980473	0.980473	0.005759	0.994241	0.988255	0.011745	
2856000	-7.694612	102	2.949383	2.949383	0.060197	0.939803	0.973558	0.026442	
2857000	-7.943010	321	2.444511	2.444511	0.076838	0.923162	0.996214	0.003786	
2858000	-8.906730	222	1.911976	1.911976	0.024691	0.975309	0.868858	0.131142	
2859000	-9.785368	313	0.983511	0.983511	0.005294	0.994706	0.999930	0.000070	
2860000	-8.957371	315	2.537749	2.537749	0.062094	0.937906	0.951597	0.048403	
2861000	-9.400426	51	1.302283	1.302283	0.022567	0.977433	0.991447	0.008553	
2862000	-8.641704	169	1.578423	1.578423	0.033899	0.966101	0.959198	0.040802	
2863000	-8.463932	171	2.245575	2.245575	0.050012	0.949988	0.996235	0.003765	
2864000	-8.309049	169	1.939885	1.939885	0.049838	0.950162	0.958718	0.041282	
2865000	-8.095009	485	4.808475	4.808475	0.191971	0.808029	0.984376	0.015624	
2866000	-7.780353	65	3.719252	3.719252	0.092616	0.907384	0.989778	0.010222	
2867000	-11.933236	22	0.558961	0.558961	0.001513	0.998487	0.999964	0.000036	
2868000	-8.836537	283	1.353020	1.353020	0.012700	0.987300	0.997597	0.002403	
2869000	-7.671464	303	3.052889	3.052889	0.137019	0.862981	0.980644	0.019356	
2870000	-8.600794	385	1.591692	1.591692	0.027784	0.972216	0.997758	0.002242	
2871000	-9.599099	308	1.251502	1.251502	0.013218	0.986782	0.997264	0.002736	
2872000	-8.378180	93	1.832441	1.832441	0.025300	0.974700	0.919531	0.080469	
2873000	-9.593169	39	1.223691	1.223691	0.016624	0.983376	0.994052	0.005948	
2874000	-7.898075	196	3.933564	3.933564	0.099856	0.900144	0.952710	0.047290	
2875000	-7.958328	85	2.524493	2.524493	0.036991	0.963009	0.979996	0.020004	
2876000	-8.337201	18	1.747106	1.747106	0.013963	0.986037	0.777257	0.222743	
2877000	-8.857711	221	2.789524	2.789524	0.086957	0.913043	0.999535	0.000465	
2878000	-10.111495	309	0.960261	0.960261	0.006674	0.993326	0.995386	0.004614	
2879000	-7.843583	389	3.921161	3.921161	0.060507	0.939493	0.990195	0.009805	
2880000	-7.302509	333	5.210424	5.210424	0.223832	0.776168	0.987089	0.012911	
2881000	-7.881702	101	3.026129	3.026129	0.088455	0.911545	0.988468	0.011532	
2882000	-8.447611	42	2.289128	2.289128	0.058777	0.941223	0.976237	0.023763	
2883000	-8.425301	439	2.516535	2.516535	0.050008	0.949992	0.992065	0.007935	
2884000	-7.658966	130	3.735785	3.735785	0.115890	0.884110	0.996443	0.003557	
2885000	-7.559041	497	3.818430	3.818430	0.135977	0.864023	0.991483	0.008517	
2886000	-13.777627	483	0.258039	0.258039	0.000379	0.999621	0.928414	0.071586	
2887000	-7.531092	138	3.103769	3.103769	0.071155	0.928845	0.990605	0.009395	
2888000	-7.791670	307	3.312421	3.312421	0.106059	0.893941	0.957881	0.042119	
2889000	-7.952964	176	5.998256	5.998256	0.160023	0.839977	0.945258	0.054742	
2890000	-9.623284	10	0.899613	0.899613	0.012159	0.987841	0.991135	0.008865	
2891000	-8.490212	201	1.971381	1.971381	0.028184	0.971816	0.738155	0.261845	
2892000	-10.320839	252	0.732168	0.732168	0.007520	0.992480	0.996399	0.003601	
2893000	-8.808149	354	2.958178	2.958178	0.153023	0.846977	0.997473	0.002527	
2894000	-7.621682	303	3.261589	3.261589	0.151518	0.848482	0.979090	0.020910	
2895000	-8.404211	454	2.904034	2.904034	0.132195	0.867805	0.927036	0.072964	
2896000	-8.257936	493	1.921059	1.921059	0.040174	0.959826	0.982681	0.017319	
2897000	-10.709469	113	0.813330	0.813330	0.004678	0.995322	0.997643	0.002357	
2898000	-7.797148	18	2.436996	2.436996	0.026604	0.973396	0.774574	0.225426	
2899000	-8.423828	264	2.891416	2.891416	0.080443	0.919557	0.998344	0.001656	
2900000	-7.788255	63	2.582935	2.582935	0.033005	0.966995	0.989031	0.010969	
2901000	-7.588634	290	4.086239	4.086239	0.119847	0.880153	0.995540	0.004460	
2902000	-9.498252	46	1.206207	1.206207	0.006482	0.993518	0.997684	0.002316	
2903000	-8.248090	235	3.913298	3.913298	0.189953	0.810047	0.948608	0.051392	
2904000	-7.420943	232	3.354848	3.354848	0.081212	0.918788	0.981925	0.018075	
2905000	-7.804493	328	4.395841	4.395841	0.134793	0.865207	0.974248	0.025752	
2906000	-8.479706	25	1.866473	1.866473	0.031127	0.968873	0.988404	0.011596	
2907000	-9.321123	16	2.822045	2.822045	0.115431	0.884569	0.997293	0.002707	
2908000	-8.944425	195	1.141795	1.141795	0.008063	0.991937	0.993426	0.006574	
2909000	-8.956233	388	1.427387	1.427387	0.031940	0.968060	0.981928	0.018072	
2910000	-7.987412	370	4.572334	4.572334	0.171967	0.828033	0.997386	0.002614	
2911000	-8.755128	133	2.551107	2.551107	0.042838	0.957162	0.992779	0.007221	
2912000	-9.028858	63	1.271689	1.271689	0.009350	0.990650	0.991218	0.008782	
2913000	-10.296353	234	0.875249	0.875249	0.007618	0.992382	0.999622	0.000378	
2914000	-8.380009	179	4.365927	4.365927	0.137604	0.862396	0.953804	0.046196	
2915000	-7.688262	52	4.096977	4.096977	0.140701	0.859299	0.980369	0.019631	
2916000	-7.467769	18	3.188149	3.188149	0.044142	0.955858	0.771510	0.228490	
2917000	-8.210894	339	3.409150	3.409150	0.171992	0.828008	0.983744	0.016256	
2918000	-8.448050	187	2.343046	2.343046	0.031582	0.968418	0.697878	0.302122	
2919000	-10.311327	277	0.944921	0.944921	0.023282	0.976718	0.828022	0.171978	
2920000	-9.322331	327	1.500600	1.500600	0.021141	0.978859	0.990787	0.009213	
2921000	-9.557264	368	1.113014	1.113014	0.007711	0.992289	0.991654	0.008346	
2922000	-9.173166	20	1.667317	1.667317	0.024176	0.975824	0.996710	0.003290	
2923000	-10.159577	11	0.836808	0.836808	0.006151	0.993849	0.999429	0.000571	
2924000	-8.305321	478	2.111106	2.111106	0.040791	0.959209	0.985216	0.014784	
2925000	-8.497386	496	2.812301	2.812301	0.059549	0.940451	0.660266	0.339734	
2926000	-7.962882	110	5.233263	5.233263	0.233710	0.766290	0.981058	0.018942	
2927000	-7.242130	428	2.902844	2.902844	0.048299	0.951701	0.994182	0.005818	
2928000	-9.386089	172	1.373727	1.373727	0.015543	0.984457	0.999623	0.000377	
2929000	-7.504511	114	3.257754	3.257754	0.068259	0.931741	0.903833	0.096167	
2930000	-9.262755	36	1.363893	1.363893	0.018636	0.981364	0.999488	0.000512	
2931000	-8.354325	319	2.570357	2.570357	0.104937	0.895063	0.996123	0.003877	
2932000	-11.686630	168	0.456215	0.456215	0.003030	0.996970	0.997681	0.002319	
2933000	-9.863721	304	1.537733	1.537733	0.030562	0.969438	0.991674	0.008326	
2934000	-8.622439	228	2.242675	2.242675	0.052060	0.947940	0.992846	0.007154	
2935000	-11.421321	27	0.693546	0.693546	0.007938	0.992062	0.991944	0.008056	
2936000	-8.570188	49	1.778588	1.778588	0.014770	0.985230	0.999581	0.000419	
2937000	-7.835354	242	2.903181	2.903181	0.054291	0.945709	0.966520	0.033480	
2938000	-9.051443	396	1.668502	1.668502	0.074912	0.925088	0.984807	0.015193	
2939000	-8.658491	261	1.795842	1.795842	0.038698	0.961302	0.980970	0.019030	
2940000	-7.635018	444	6.579441	6.579441	0.248404	0.751596	0.957210	0.042790	
2941000	-9.217206	29	1.476172	1.476172	0.016269	0.983731	0.988832	0.011168	
2942000	-9.788450	333	0.838594	0.838594	0.008617	0.991383	0.998253	0.001747	
2943000	-7.807218	335	2.626974	2.626974	0.064922	0.935078	0.989993	0.010007	
2944000	-10.570286	357	0.813235	0.813235	0.003118	0.996882	0.998680	0.001320	
2945000	-9.914939	399	1.601353	1.601353	0.019368	0.980632	0.992646	0.007354	
2946000	-13.279836	256	0.281577	0.281577	0.000931	0.999069	0.673698	0.326302	
2947000	-8.673284	46	1.813282	1.813282	0.014679	0.985321	0.996487	0.003513	
2948000	-8.143467	103	2.950288	2.950288	0.070605	0.929395	0.967626	0.032374	
2949000	-8.355055	488	2.340129	2.340129	0.081425	0.918575	0.981910	0.018090	
2950000	-7.364052	500	3.648845	3.648845	0.071511	0.928489	0.998450	0.001550	
2951000	-7.841982	10	2.557397	2.557397	0.069002	0.930998	0.973635	0.026365	
2952000	-9.401362	272	1.394027	1.394027	0.022897	0.977103	0.998892	0.001108	
2953000	-8.573616	209	2.526927	2.526927	0.045633	0.954367	0.979056	0.020944	
2954000	-7.748205	276	4.273475	4.273475	0.102953	0.897047	0.779384	0.220616	
2955000	-8.114450	379	3.155967	3.155967	0.073916	0.926084	0.614176	0.385824	
2956000	-8.688937	158	1.609676	1.609676	0.028709	0.971291	0.990823	0.009177	
2957000	-9.121830	195	1.049868	1.049868	0.006826	0.993174	0.993981	0.006019	
2958000	-8.090859	49	2.358646	2.358646	0.025821	0.974179	0.999260	0.000740	
2959000	-8.133117	335	1.974143	1.974143	0.038166	0.961834	0.992549	0.007451	
2960000	-7.612186	262	5.438324	5.438324	0.221019	0.778981	0.995873	0.004127	
2961000	-7.404129	333	3.930533	3.930533	0.151124	0.848876	0.990718	0.009282	
2962000	-8.504279	70	2.496896	2.496896	0.056915	0.943085	0.977723	0.022277	
2963000	-9.317793	87	2.183359	2.183359	0.038728	0.961272	0.988358	0.011642	
2964000	-8.208972	33	3.097607	3.097607	0.095935	0.904065	0.901937	0.098063	
2965000	-8.910442	276	1.557678	1.557678	0.016283	0.983717	0.791583	0.208417	
2966000	-8.472478	168	2.158868	2.158868	0.062938	0.937062	0.987306	0.012694	
2967000	-7.956903	278	2.245091	2.245091	0.039777	0.960223	0.997150	0.002850	
2968000	-8.556876	23	1.940092	1.940092	0.075342	0.924658	0.998888	0.001112	
2969000	-8.697964	77	2.468090	2.468090	0.089381	0.910619	0.864695	0.135305	
2970000	-10.557615	351	0.827982	0.827982	0.005340	0.994660	0.995245	0.004755	
2971000	-9.187815	490	1.971449	1.971449	0.052886	0.947114	0.745884	0.254116	
2972000	-7.765469	100	5.890065	5.890065	0.213071	0.786929	0.929976	0.070024	
2973000	-8.518206	129	1.928264	1.928264	0.025683	0.974317	0.992662	0.007338	
2974000	-7.293182	500	4.019851	4.019851	0.084820	0.915180	0.998109	0.001891	
2975000	-8.894165	341	2.189655	2.189655	0.042441	0.957559	0.993413	0.006587	
2976000	-8.441626	278	1.697000	1.697000	0.023292	0.976708	0.997883	0.002117	
2977000	-9.563568	4	1.224800	1.224800	0.015536	0.984464	0.997071	0.002929	
2978000	-7.593187	294	3.578504	3.578504	0.130594	0.869406	0.982410	0.017590	
2979000	-10.226677	275	1.104967	1.104967	0.022323	0.977677	0.993577	0.006423	
2980000	-8.351295	451	2.312510	2.312510	0.043457	0.956543	0.965999	0.034001	
2981000	-10.598417	459	0.876836	0.876836	0.010221	0.989779	0.999427	0.000573	
2982000	-8.413634	459	2.975637	2.975637	0.096324	0.903676	0.997149	0.002851	
2983000	-8.688591	189	1.295577	1.295577	0.024493	0.975507	0.996720	0.003280	
2984000	-8.029775	313	2.429259	2.429259	0.030816	0.969184	0.999542	0.000458	
2985000	-7.513643	377	4.475956	4.475956	0.145056	0.854944	0.958846	0.041154	
2986000	-8.124071	140	4.173138	4.173138	0.192617	0.807383	0.972713	0.027287	
2987000	-7.547405	281	4.072453	4.072453	0.075812	0.924188	0.981602	0.018398	
2988000	-8.308699	332	2.259463	2.259463	0.041608	0.958392	0.985246	0.014754	
2989000	-8.917907	245	1.713741	1.713741	0.034000	0.966000	0.892637	0.107363	
2990000	-7.777474	139	3.184712	3.184712	0.092290	0.907710	0.980424	0.019576	
2991000	-10.131237	12	0.606173	0.606173	0.004023	0.995977	0.897921	0.102079	
2992000	-8.122622	244	3.615782	3.615782	0.090061	0.909939	0.869434	0.130566	
2993000	-8.538402	299	2.161812	2.161812	0.065554	0.934446	0.990136	0.009864	
2994000	-8.265426	466	2.673405	2.673405	0.060966	0.939034	0.979282	0.020718	
2995000	-7.534979	199	3.834968	3.834968	0.157257	0.842743	0.998712	0.001288	
2996000	-10.344241	312	0.868676	0.868676	0.005480	0.994520	0.804641	0.195359	
2997000	-8.133637	195	1.761371	1.761371	0.018915	0.981085	0.989568	0.010432	
2998000	-7.705455	126	3.887265	3.887265	0.117853	0.882147	0.996130	0.003870	
2999000	-10.918736	343	0.883268	0.883268	0.045060	0.954940	0.994782	0.005218	
3000000	-8.266927	249	5.901162	5.901162	0.217749	0.782251	0.987300	0.012700	
3001000	-8.907396	156	1.368570	1.368570	0.015828	0.984172	0.998979	0.001021	
3002000	-9.578181	325	1.841757	1.841757	0.058225	0.941775	0.999132	0.000868	
3003000	-9.183738	249	2.855626	2.855626	0.086688	0.913312	0.997031	0.002969	
3004000	-8.704184	285	1.876461	1.876461	0.049229	0.950771	0.992702	0.007298	
3005000	-8.289222	27	4.562621	4.562621	0.217368	0.782632	0.946296	0.053704	
3006000	-9.078628	71	1.784409	1.784409	0.042973	0.957027	0.991641	0.008359	
3007000	-8.576391	241	1.409202	1.409202	0.015838	0.984162	0.997653	0.002347	
3008000	-8.427485	231	3.378434	3.378434	0.147680	0.852320	0.937066	0.062934	
3009000	-7.734052	409	4.162277	4.162277	0.175358	0.824642	0.972063	0.027937	
