Options:
Model:                           Continuous: Regression
Tree File Name:                  InterpolatingExtant.trees
Data File Name:                  InterpolatingExtant.txt
Log File Name:                   InterpolatingExtant.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1700331469
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      1100000
Burn in:                         100000
MCMC ML Start:                   False
Schedule File:                   InterpolatingExtant.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Save Model:                      GenomeCellModel.bin
Restrictions:
    Alpha                        None
    Beta-2                       None
Prior Information:
    Priors
        Alpha - uniform -100.00 100.00 
        Beta-2 - uniform -100.00 100.00 
Tree Information
     Trees:                      1
     Taxa:                       25
     Sites:                      1
Iteration	Lh	Tree No	Alpha	Beta 1	Var	R^2	SSE	SST	s.e. Alpha	s.e. Beta-1	
101000	3.045689	1	-0.164866414264	0.259811620835	0.000281116168	0.179902453180	0.006966141980	0.008494284621	0.698157	0.129761	
102000	2.861845	1	-0.431535514677	0.280626789359	0.000285281247	0.179902453180	0.006966141980	0.008494284621	0.703310	0.130719	
103000	2.331792	1	-1.343696148683	0.469379043855	0.000297638519	0.179902453180	0.006966141980	0.008494284621	0.718380	0.133520	
104000	2.744208	1	-0.766485173452	0.341195074688	0.000287978691	0.179902453180	0.006966141980	0.008494284621	0.706627	0.131336	
105000	2.885949	1	-0.516893424225	0.336462405186	0.000284731653	0.179902453180	0.006966141980	0.008494284621	0.702632	0.130593	
106000	2.752836	1	0.157421988319	0.202109133731	0.000287779975	0.179902453180	0.006966141980	0.008494284621	0.706383	0.131290	
107000	2.579238	1	-0.560723301225	0.296042879859	0.000291804509	0.179902453180	0.006966141980	0.008494284621	0.711305	0.132205	
108000	2.460398	1	-0.628340432021	0.305859451625	0.000294591966	0.179902453180	0.006966141980	0.008494284621	0.714694	0.132835	
109000	2.662248	1	-1.030828308505	0.424506999407	0.000289873097	0.179902453180	0.006966141980	0.008494284621	0.708947	0.131767	
110000	2.291970	1	-0.251826873442	0.233485071696	0.000298588242	0.179902453180	0.006966141980	0.008494284621	0.719526	0.133733	
111000	2.980489	1	-0.597817580291	0.316847102756	0.000282586306	0.179902453180	0.006966141980	0.008494284621	0.699980	0.130100	
112000	2.347970	1	0.324781440508	0.145535007726	0.000297253564	0.179902453180	0.006966141980	0.008494284621	0.717916	0.133434	
113000	2.566981	1	-1.197417218190	0.437514233692	0.000292090770	0.179902453180	0.006966141980	0.008494284621	0.711654	0.132270	
114000	2.530014	1	0.006115525923	0.196653843710	0.000292955864	0.179902453180	0.006966141980	0.008494284621	0.712707	0.132466	
115000	0.942904	1	0.398248590357	0.199943499421	0.000332616694	0.179902453180	0.006966141980	0.008494284621	0.759420	0.141148	
116000	1.658660	1	-1.667768731091	0.519972509452	0.000314105942	0.179902453180	0.006966141980	0.008494284621	0.737986	0.137164	
117000	1.524915	1	-0.148986044159	0.298826846070	0.000317484797	0.179902453180	0.006966141980	0.008494284621	0.741944	0.137900	
118000	2.841434	1	-0.824996832032	0.357511524090	0.000285747439	0.179902453180	0.006966141980	0.008494284621	0.703884	0.130826	
119000	2.754076	1	0.162972185656	0.200311196632	0.000287751428	0.179902453180	0.006966141980	0.008494284621	0.706348	0.131284	
120000	3.109823	1	-0.397884126466	0.303241310160	0.000279677520	0.179902453180	0.006966141980	0.008494284621	0.696368	0.129429	
121000	0.807550	1	0.362288142014	0.104402014685	0.000336237947	0.179902453180	0.006966141980	0.008494284621	0.763543	0.141914	
122000	-0.572610	1	-0.332791005168	0.204355498671	0.000375490032	0.179902453180	0.006966141980	0.008494284621	0.806880	0.149969	
123000	3.026195	1	-0.083254402856	0.238511626812	0.000281554901	0.179902453180	0.006966141980	0.008494284621	0.698701	0.129863	
124000	2.952075	1	-0.026250089697	0.234238631987	0.000283229385	0.179902453180	0.006966141980	0.008494284621	0.700776	0.130248	
125000	1.198784	1	0.371157257533	0.200982880245	0.000325877108	0.179902453180	0.006966141980	0.008494284621	0.751687	0.139711	
126000	2.778944	1	-0.457608059463	0.282600467812	0.000287179543	0.179902453180	0.006966141980	0.008494284621	0.705646	0.131153	
127000	2.715456	1	-1.044002449298	0.422630244905	0.000288641831	0.179902453180	0.006966141980	0.008494284621	0.707440	0.131487	
128000	2.860561	1	-0.969228932898	0.395899061485	0.000285310550	0.179902453180	0.006966141980	0.008494284621	0.703346	0.130726	
129000	3.140407	1	-0.438125185293	0.297791515092	0.000278994076	0.179902453180	0.006966141980	0.008494284621	0.695516	0.129271	
130000	2.393059	1	0.426826403766	0.141048322571	0.000296183266	0.179902453180	0.006966141980	0.008494284621	0.716622	0.133193	
131000	2.711496	1	-1.099260126350	0.422202067752	0.000288733303	0.179902453180	0.006966141980	0.008494284621	0.707552	0.131508	
132000	2.995880	1	-0.116486071687	0.235231071494	0.000282238573	0.179902453180	0.006966141980	0.008494284621	0.699549	0.130020	
133000	3.083771	1	-0.636403432032	0.345355042027	0.000280261026	0.179902453180	0.006966141980	0.008494284621	0.697094	0.129564	
134000	2.338276	1	0.459274562577	0.135291512292	0.000297484176	0.179902453180	0.006966141980	0.008494284621	0.718194	0.133486	
135000	-0.227480	1	-0.226138668356	0.338391015875	0.000365264412	0.179902453180	0.006966141980	0.008494284621	0.795818	0.147913	
136000	1.328365	1	-0.445710678528	0.250654493894	0.000322516366	0.179902453180	0.006966141980	0.008494284621	0.747801	0.138988	
137000	1.687364	1	0.591239527412	0.089592550417	0.000313385475	0.179902453180	0.006966141980	0.008494284621	0.737139	0.137007	
138000	3.134012	1	-0.306805164294	0.281118804173	0.000279136841	0.179902453180	0.006966141980	0.008494284621	0.695694	0.129304	
139000	2.660207	1	-0.942277612659	0.375488678345	0.000289920427	0.179902453180	0.006966141980	0.008494284621	0.709005	0.131778	
140000	2.846391	1	-0.014975008889	0.239200589860	0.000285634151	0.179902453180	0.006966141980	0.008494284621	0.703744	0.130800	
141000	1.188099	1	0.636081489951	0.070488195003	0.000326155798	0.179902453180	0.006966141980	0.008494284621	0.752008	0.139770	
142000	2.066928	1	0.465401786724	0.158826378082	0.000304012519	0.179902453180	0.006966141980	0.008494284621	0.726032	0.134942	
143000	3.104227	1	-0.535952952250	0.312542147967	0.000279802753	0.179902453180	0.006966141980	0.008494284621	0.696524	0.129458	
144000	2.895971	1	-0.153343641176	0.234707091037	0.000284503450	0.179902453180	0.006966141980	0.008494284621	0.702350	0.130541	
145000	-1.274805	1	-1.792823446738	0.478629767417	0.000397187103	0.179902453180	0.006966141980	0.008494284621	0.829865	0.154241	
146000	3.131431	1	-0.482325742075	0.316281598043	0.000279194481	0.179902453180	0.006966141980	0.008494284621	0.695766	0.129317	
147000	2.849670	1	-0.754389387334	0.342777421583	0.000285559245	0.179902453180	0.006966141980	0.008494284621	0.703652	0.130783	
148000	2.897505	1	0.063142510992	0.210113199835	0.000284468542	0.179902453180	0.006966141980	0.008494284621	0.702307	0.130533	
149000	-0.901021	1	-1.915752341376	0.510747673196	0.000385485953	0.179902453180	0.006966141980	0.008494284621	0.817550	0.151952	
150000	-2.730168	1	0.239264067287	0.078624594370	0.000446230915	0.179902453180	0.006966141980	0.008494284621	0.879609	0.163487	
151000	1.293104	1	-1.503729741446	0.530939677446	0.000323427441	0.179902453180	0.006966141980	0.008494284621	0.748856	0.139184	
152000	0.352229	1	-2.144867707388	0.626446447221	0.000348711446	0.179902453180	0.006966141980	0.008494284621	0.777576	0.144522	
153000	2.531635	1	-0.614054888255	0.304912577011	0.000292917874	0.179902453180	0.006966141980	0.008494284621	0.712661	0.132457	
154000	2.677421	1	-0.864263385774	0.359217571286	0.000289521456	0.179902453180	0.006966141980	0.008494284621	0.708517	0.131687	
155000	2.270979	1	0.498976922737	0.135625721859	0.000299090064	0.179902453180	0.006966141980	0.008494284621	0.720130	0.133845	
156000	3.051227	1	-0.339120977411	0.272830521344	0.000280991639	0.179902453180	0.006966141980	0.008494284621	0.698002	0.129733	
157000	2.184826	1	0.385968140610	0.173752907020	0.000301158591	0.179902453180	0.006966141980	0.008494284621	0.722616	0.134307	
158000	0.235353	1	-1.572831122372	0.561956080282	0.000351987209	0.179902453180	0.006966141980	0.008494284621	0.781220	0.145200	
159000	2.827559	1	0.110344866056	0.197258256121	0.000286064796	0.179902453180	0.006966141980	0.008494284621	0.704275	0.130898	
160000	-2.159559	1	1.776697238698	-0.052890903704	0.000426318963	0.179902453180	0.006966141980	0.008494284621	0.859760	0.159797	
161000	3.009038	1	-0.398674053637	0.280846169256	0.000281941619	0.179902453180	0.006966141980	0.008494284621	0.699181	0.129952	
162000	2.553141	1	-0.109367883240	0.215765985789	0.000292414346	0.179902453180	0.006966141980	0.008494284621	0.712048	0.132343	
163000	2.966885	1	-0.398526288819	0.278834645658	0.000282894014	0.179902453180	0.006966141980	0.008494284621	0.700361	0.130171	
164000	3.047507	1	-0.118995142215	0.246791006472	0.000281075270	0.179902453180	0.006966141980	0.008494284621	0.698106	0.129752	
165000	1.343387	1	-0.435158498415	0.355026400494	0.000322129010	0.179902453180	0.006966141980	0.008494284621	0.747351	0.138905	
166000	3.061001	1	-0.720962778303	0.349696302385	0.000280772011	0.179902453180	0.006966141980	0.008494284621	0.697729	0.129682	
167000	3.011210	1	-0.587672420694	0.343016204490	0.000281892642	0.179902453180	0.006966141980	0.008494284621	0.699120	0.129940	
168000	-0.484068	1	-2.164263338863	0.575784165705	0.000372839677	0.179902453180	0.006966141980	0.008494284621	0.804028	0.149439	
169000	2.765831	1	-0.646189193256	0.362876968662	0.000287480955	0.179902453180	0.006966141980	0.008494284621	0.706016	0.131222	
170000	1.139221	1	-1.811335401397	0.570684306097	0.000327433634	0.179902453180	0.006966141980	0.008494284621	0.753480	0.140044	
