Options:
Model:                           Independent Contrasts
Tree File Name:                  Rhizobiales.trees
Data File Name:                  LnGenomeSize.txt
Log File Name:                   LnGenomeSize.txt.Log.txt
Save Initial Trees:              False
Save Trees:                      False
Summary:                         False
Seed:                            1676938870
Precision:                       64 bits
Cores:                           1
Analysis Type:                   MCMC
Sample Period:                   1000
Iterations:                      11000000
Burn in:                         1000000
MCMC ML Start:                   False
Schedule File:                   LnGenomeSize.txt.Schedule.txt
Rate Dev:                        AutoTune
No of Rates:                     2
Test for trait correlation:      True
Kappa:                           Not in use
Delta:                           Not in use
Lambda:                          Not in use
OU:                              Not in use
Min Trans Taxa No:               10
RJ Local Kappa:                  False
RJ Local Lambda:                 False
RJ Local Delta:                  False
RJ Local OU:                     False
Tags:	1
	Tag-Devosia	8	Devosia_enhydra_ATCC_23634 Devosia_sp_Root105 Devosia_sp_Root436 Devosia_psychrophila_CGMCC_1_10210 Devosia_sp_LC5 Devosia_sp_Leaf420 Devosia_sp_Root685 Devosia_sp_S37 
Restrictions:
    Alpha-1                      None
    Sigma-1                      None
Prior Information:
    Priors
        Alpha-1 - uniform -100.00 100.00 
        Sigma-1 - uniform 0.00 100.00 
        AncState-1 - uniform -100.00 100.00 
Node reconstruction / fossilisation:
	MRCA DevosiaAnc Tag-Devosia
Removed taxa:
          Rhizobium_alamii_YR584
Tree Information
     Trees:                      1000
     Taxa:                       160
     Sites:                      1
Iteration	Lh	Tree No	Alpha 1	Sigma^2 1	DevosiaAnc Alpha	
1079000	82.841339	652	15.267574684127	0.240806447080	15.243052	
1080000	81.584849	636	15.300074577795	0.295565864587	15.244217	
1081000	82.726876	879	15.271817393676	0.234081444671	15.241534	
1082000	82.518091	350	15.216773120858	0.225480776911	15.241795	
1083000	80.930571	268	15.125562402784	0.287880690590	15.244382	
1084000	81.998414	947	15.297472862942	0.264336659896	15.242094	
1085000	81.697158	325	15.162188553293	0.198671869295	15.238280	
1086000	83.614750	247	15.236704053608	0.253830067494	15.243036	
1087000	82.070429	66	15.289959054550	0.197615990743	15.242726	
1088000	81.023936	532	15.008383716727	0.270988557971	15.241785	
1089000	82.044960	710	15.274725789188	0.262944968627	15.239901	
1090000	80.453906	156	15.225201205703	0.283580656386	15.240836	
1091000	79.324297	612	15.181732685275	0.294103215693	15.241364	
1092000	83.207325	163	15.211923993698	0.203656493275	15.245555	
1093000	80.720881	661	15.106442567369	0.232843201278	15.243063	
1094000	81.957296	846	15.228965399096	0.215459510343	15.243224	
1095000	81.781880	440	15.220329510836	0.244319105340	15.243714	
1096000	82.046597	999	15.087782526888	0.244593520854	15.243005	
1097000	81.320618	467	15.064746478460	0.245607402897	15.241678	
1098000	82.291166	969	15.163284075517	0.209526853349	15.246053	
1099000	82.601196	40	15.206581536599	0.232855601938	15.242547	
1100000	81.543933	568	15.349528848756	0.237055843837	15.242288	
1101000	82.285136	74	15.259491864240	0.223044890949	15.243295	
1102000	82.853561	381	15.201628570325	0.237353738282	15.242177	
1103000	80.643094	746	15.319720766739	0.285022323738	15.243265	
1104000	82.010545	353	15.064085473296	0.231025416910	15.243106	
1105000	82.239932	284	15.178237017977	0.262736904490	15.243371	
1106000	82.452476	144	15.201882613866	0.242096351658	15.242930	
1107000	81.093600	811	15.080109934331	0.237353492291	15.245414	
1108000	80.352302	437	15.044368516849	0.226985767702	15.242230	
1109000	81.944840	575	15.172282130246	0.294313238547	15.241435	
1110000	82.327489	852	15.205279889476	0.216977087029	15.243749	
1111000	78.322292	78	15.372078706116	0.295887445092	15.243498	
1112000	80.752154	481	15.295956843436	0.278638142449	15.243593	
1113000	82.599032	996	15.157234605234	0.219330693352	15.243366	
1114000	82.798024	317	15.299484834515	0.264307562262	15.241339	
1115000	79.855616	911	15.201809802962	0.324862437961	15.243326	
1116000	81.826315	39	15.172584687984	0.204101857513	15.241964	
1117000	83.042960	816	15.197261393309	0.225704760612	15.241823	
1118000	83.565938	441	15.134185867487	0.268055168235	15.243410	
1119000	79.586395	359	15.357788947463	0.226724006523	15.242011	
1120000	82.566698	816	15.181720723264	0.273243753829	15.241823	
1121000	82.767497	796	15.219256635740	0.229388248044	15.242118	
1122000	82.331678	747	15.231435953969	0.242915864845	15.240158	
1123000	81.335687	743	15.138104703038	0.277076931638	15.240900	
1124000	83.251386	660	15.278189278002	0.222054714035	15.242848	
1125000	80.981440	703	15.235646076026	0.298722612210	15.242893	
1126000	81.401936	761	15.195536001668	0.263710130827	15.241489	
1127000	82.116934	772	15.211582776755	0.269085843675	15.241734	
1128000	80.651579	281	15.103882598062	0.223863116256	15.244674	
1129000	82.413145	557	15.172410771530	0.216362800209	15.242024	
1130000	81.442744	335	15.056201565557	0.239237763320	15.241920	
1131000	83.251142	602	15.164577696387	0.256500568251	15.243289	
1132000	82.033646	961	15.142141713728	0.229303734263	15.243423	
1133000	82.188523	475	15.237374784884	0.280366357799	15.242021	
1134000	84.131005	1000	15.179935641417	0.225673588626	15.242344	
1135000	82.730376	610	15.202166628926	0.231287020620	15.236916	
1136000	83.873790	528	15.231268633984	0.225763842111	15.241386	
1137000	83.464163	736	15.210002281459	0.259678501286	15.239065	
1138000	81.894090	199	15.119688206092	0.236045694499	15.243065	
1139000	83.261353	636	15.241805797191	0.211315839144	15.244217	
1140000	83.160842	561	15.202173664365	0.251920599009	15.241707	
1141000	81.926953	192	15.118331359442	0.267098668958	15.244275	
1142000	82.378120	523	15.062921046374	0.216093199887	15.243614	
1143000	82.552812	600	15.269718719891	0.227717642383	15.241517	
1144000	82.774088	996	15.215426590745	0.217567234450	15.243366	
1145000	83.514677	317	15.211310522998	0.261086760552	15.241339	
1146000	81.719784	85	15.287618710091	0.260770172210	15.240721	
1147000	82.805129	58	15.194766988909	0.234983495014	15.242913	
1148000	80.659283	183	15.316269541202	0.235533421871	15.241087	
1149000	83.621846	168	15.283079891308	0.241618548652	15.240818	
1150000	82.716901	407	15.126061617069	0.251065134894	15.242292	
1151000	81.081727	18	15.193622526241	0.238260283588	15.239911	
1152000	82.408455	470	15.219100170180	0.214206054330	15.242090	
1153000	82.159904	70	15.102400704396	0.252974433295	15.241970	
1154000	83.585013	528	15.208899246654	0.265039383802	15.241386	
1155000	83.400235	424	15.280939676583	0.254181260379	15.243584	
1156000	82.476593	377	15.187647582317	0.249207228053	15.241294	
1157000	82.734113	157	15.278569258199	0.254502200497	15.243683	
1158000	82.811788	933	15.199058025696	0.247262421477	15.241114	
1159000	82.739699	953	15.292530513855	0.235685334065	15.242551	
1160000	82.440733	467	15.185154269085	0.226545703460	15.241678	
1161000	81.353370	210	15.067343867839	0.228398722029	15.242427	
1162000	82.891110	785	15.154474189126	0.268895154381	15.244764	
1163000	81.808596	884	15.189413509718	0.276339562300	15.240873	
1164000	80.896220	795	15.224290993272	0.211623641574	15.244158	
1165000	82.243142	639	15.206952077585	0.244579628012	15.240788	
1166000	83.818156	247	15.189446781217	0.231057016642	15.243036	
1167000	79.108587	585	15.144073359970	0.182513275872	15.246110	
1168000	82.300611	184	15.208775031815	0.241401357421	15.240384	
1169000	82.017987	466	15.224170879805	0.215312287918	15.241446	
1170000	82.207206	772	15.148822304670	0.261876458070	15.241734	
1171000	82.835265	905	15.120491158348	0.261727230384	15.243175	
1172000	81.889835	206	15.240693594889	0.235146982100	15.242752	
1173000	82.863248	653	15.133156510855	0.236604200499	15.243210	
1174000	82.432821	518	15.126871945844	0.248077054149	15.242956	
1175000	81.773403	146	15.064829977148	0.250625232834	15.243388	
1176000	80.418985	949	15.118909223622	0.285156567756	15.242256	
1177000	82.620668	40	15.196694398331	0.235355822053	15.242547	
1178000	83.969513	444	15.163456450544	0.236695433742	15.242080	
1179000	78.793642	201	15.347811501633	0.210269749896	15.241274	
1180000	83.751771	670	15.216306932215	0.232137801057	15.242052	
1181000	81.286190	261	15.094324524484	0.244987458441	15.242788	
1182000	83.140428	468	15.213309978049	0.227635232390	15.244107	
1183000	83.096239	895	15.116626062781	0.218455956432	15.242675	
1184000	81.823018	733	15.088871263429	0.243164601145	15.242515	
1185000	81.507602	134	15.253202397694	0.253308925798	15.239521	
1186000	82.535584	908	15.284874606096	0.263499476721	15.243043	
1187000	80.881771	472	15.251352805580	0.204128954018	15.239548	
1188000	82.062314	986	15.311908213850	0.282695633976	15.243844	
1189000	82.597635	468	15.112834552217	0.247461815919	15.244107	
1190000	81.579913	150	15.199883619950	0.219538999203	15.243033	
1191000	79.247498	627	14.985939279516	0.258449973900	15.241918	
1192000	81.024960	793	15.322320302745	0.269751846636	15.244073	
1193000	81.880453	729	15.226240569190	0.282413962142	15.242616	
1194000	83.564596	247	15.254984071821	0.249231895176	15.243036	
1195000	83.374056	885	15.173826403149	0.238372892916	15.242225	
1196000	81.416248	867	15.220705269811	0.290517201381	15.242416	
1197000	83.559627	657	15.209714148814	0.245925384677	15.239335	
1198000	82.325312	688	15.174370695179	0.220178201746	15.242695	
1199000	80.483290	919	15.040962331913	0.286833540966	15.244211	
1200000	83.276990	114	15.146059145763	0.245067970835	15.242371	
1201000	83.731358	226	15.174526525576	0.248290946368	15.242600	
1202000	81.724180	261	15.124777359682	0.257863644370	15.242788	
1203000	82.271325	452	15.140564289177	0.256027784741	15.243675	
1204000	82.492557	729	15.172801275333	0.214728019111	15.242616	
1205000	80.147509	723	15.322943930524	0.286192596479	15.244078	
1206000	81.927193	740	15.181431693180	0.249717922224	15.241894	
1207000	83.243123	247	15.102245365508	0.250502333594	15.243036	
1208000	79.930999	104	15.060416826796	0.260839842827	15.239455	
1209000	81.943208	485	15.242688174468	0.251153584522	15.242094	
1210000	81.512424	178	15.254806947329	0.225881927391	15.242324	
1211000	82.395346	824	15.197716635792	0.284733373471	15.242803	
1212000	82.398290	466	15.140068429460	0.261172118950	15.241446	
1213000	84.136931	375	15.255920378298	0.256592378372	15.244520	
1214000	82.879193	221	15.255936678303	0.258241147576	15.240586	
1215000	81.016141	257	15.180962316611	0.287400192419	15.241103	
1216000	81.106839	333	15.209114964681	0.279302300518	15.244407	
1217000	79.752841	367	15.179255673280	0.184147885654	15.238704	
1218000	81.337730	335	15.115969945402	0.205422246783	15.241920	
1219000	78.777142	303	15.378184540768	0.248017563245	15.243138	
1220000	80.412637	109	15.363454930296	0.239501278768	15.241728	
1221000	82.618840	893	15.142564182994	0.205328276906	15.240259	
1222000	81.963675	195	15.268731844530	0.267159192398	15.241101	
1223000	81.805712	889	15.278409191804	0.288219131990	15.241363	
1224000	83.256059	229	15.218048592463	0.246157212160	15.242004	
1225000	81.730003	45	15.294608029607	0.266079145157	15.240294	
1226000	81.751278	598	15.138253789206	0.284280745229	15.240580	
1227000	83.153673	892	15.245590273342	0.243627019271	15.241458	
1228000	79.678217	432	15.115544342594	0.293170741484	15.241820	
1229000	82.049212	171	15.217975853797	0.277870835717	15.240930	
1230000	81.984990	351	15.301307656991	0.267392009135	15.242332	
1231000	82.541442	101	15.139354844230	0.273530070627	15.242164	
1232000	82.401509	193	15.119026672479	0.239892876872	15.243057	
1233000	81.836976	619	15.073937475825	0.255947451131	15.245240	
1234000	80.336185	247	15.422457186299	0.264853321056	15.243036	
1235000	81.389893	215	15.157370674958	0.219509241245	15.242468	
1236000	82.318065	28	15.189188807870	0.283664508465	15.242345	
1237000	83.365613	438	15.176003573733	0.243181915306	15.240870	
1238000	81.624985	893	15.249928646349	0.299131101731	15.240259	
1239000	82.832669	735	15.193187658661	0.257847088407	15.245244	
1240000	81.138596	481	15.134096384715	0.276070822546	15.243593	
1241000	82.533267	116	15.179749073815	0.269515835793	15.241613	
1242000	80.929967	161	15.186203555492	0.220157758293	15.241525	
1243000	80.357693	473	15.210700953373	0.209239023561	15.242950	
1244000	84.374228	498	15.240979596709	0.227159368671	15.242537	
1245000	82.618684	948	15.182738173500	0.255062839067	15.242881	
1246000	82.567107	695	15.238801716876	0.263812130013	15.241779	
1247000	81.576123	889	15.049155562345	0.266549045293	15.241363	
1248000	82.402731	168	15.064165336261	0.223933647658	15.240818	
1249000	79.745271	398	14.981906352138	0.266786830414	15.243942	
1250000	83.307214	532	15.140408141917	0.217763656997	15.241785	
1251000	82.951235	61	15.144688827074	0.231633750514	15.241297	
1252000	78.096097	430	15.036090910197	0.194177487115	15.241580	
1253000	82.872340	22	15.176815856842	0.248917289186	15.242551	
1254000	81.839180	917	15.168610806823	0.210876735302	15.245612	
1255000	80.519033	100	15.199541463498	0.190245391272	15.242017	
1256000	83.672732	905	15.182039823785	0.224429414782	15.243175	
1257000	82.152865	953	15.182473974111	0.206844010512	15.242551	
1258000	82.471075	904	15.180928156909	0.237198060179	15.242021	
1259000	82.782212	764	15.248985841706	0.233836121787	15.243952	
1260000	83.340599	364	15.163124101883	0.228908340308	15.244122	
1261000	81.697031	380	15.243631085005	0.202910704727	15.237812	
1262000	83.132076	660	15.150251913791	0.268028476131	15.242848	
1263000	80.594570	310	15.352199674966	0.255395755941	15.241085	
1264000	82.271557	349	15.159265909386	0.251207029774	15.241353	
1265000	81.341904	765	15.180331315596	0.195237250112	15.243738	
1266000	80.472668	306	15.052487399672	0.242419613207	15.241558	
1267000	82.605840	3	15.192233812431	0.241471753901	15.241014	
1268000	81.210115	903	15.117838013085	0.267438688525	15.243940	
1269000	81.838827	948	15.317502931310	0.228210821496	15.242881	
1270000	80.117704	510	15.302735611402	0.301127412243	15.241492	
1271000	81.630400	287	15.111534172958	0.240678269159	15.243243	
1272000	82.081741	463	15.150011778387	0.256199547488	15.242856	
1273000	82.751172	830	15.309076639084	0.255819727491	15.242353	
1274000	80.503377	800	15.298832312018	0.283212124691	15.239992	
1275000	82.075079	653	15.186237599243	0.201328800702	15.243210	
1276000	81.724914	549	15.206239966058	0.286494461353	15.243236	
1277000	82.229703	876	15.168849705351	0.231764038095	15.242870	
1278000	81.930464	850	15.274357221827	0.262358328800	15.241699	
1279000	80.588372	486	15.128670997600	0.272996867713	15.241778	
1280000	81.458280	945	15.326699097204	0.229283702462	15.238421	
1281000	83.226471	465	15.218989169209	0.243385639484	15.243160	
1282000	84.465587	375	15.149929460960	0.221006622498	15.244520	
1283000	82.825321	794	15.188338804858	0.248951652885	15.241917	
1284000	83.465207	830	15.174708600241	0.250751477196	15.242353	
1285000	82.595724	221	15.215405127752	0.214202574648	15.240586	
1286000	83.636289	670	15.187365060250	0.252061970443	15.242052	
1287000	82.965030	375	15.345002262262	0.258514145800	15.244520	
1288000	83.096950	424	15.198293677645	0.281239250335	15.243584	
1289000	81.527331	905	15.054627487569	0.237715485483	15.243175	
1290000	81.492312	585	15.068648075113	0.237759217338	15.246110	
1291000	81.040137	776	15.214557194204	0.275569149548	15.242691	
1292000	81.835378	930	15.201231347126	0.256220170304	15.242905	
1293000	81.858655	751	15.168571137512	0.273670237628	15.240985	
1294000	82.472555	568	15.166336665718	0.258549746411	15.242288	
1295000	79.469654	801	15.042593603163	0.229928670955	15.240588	
1296000	82.379826	3	15.236973338205	0.223684832841	15.241014	
1297000	81.901553	607	15.181539451840	0.239406525317	15.242981	
1298000	83.074113	61	15.247479328314	0.245278444128	15.241297	
1299000	82.227642	40	15.272004743175	0.230768542915	15.242547	
1300000	81.507431	508	15.313561364901	0.219624652964	15.241482	
1301000	82.397227	846	15.264682807388	0.246614084154	15.243224	
1302000	81.690084	85	15.156864602752	0.265676797205	15.240721	
1303000	81.948429	404	15.107388162627	0.262892119901	15.242090	
1304000	82.850968	276	15.270966947588	0.217921671392	15.245560	
1305000	83.525438	836	15.226922692985	0.245005131982	15.244187	
1306000	81.253519	971	15.196659781599	0.306387139394	15.241923	
1307000	82.889997	398	15.230028267541	0.230305130604	15.243942	
1308000	81.484352	439	15.380515280401	0.211887988662	15.241570	
1309000	82.318040	160	15.195905767939	0.241090407357	15.241975	
1310000	83.550151	235	15.198115395288	0.220260839823	15.238867	
1311000	83.574276	375	15.303275075367	0.213490440756	15.244520	
1312000	82.118950	454	15.167140516645	0.263040908603	15.241994	
1313000	84.271745	360	15.199409810984	0.242617932556	15.241068	
1314000	81.904895	70	15.195014095107	0.282851676678	15.241970	
1315000	82.922885	119	15.217205486980	0.237887591152	15.240853	
1316000	81.853059	759	15.222984432506	0.288013819857	15.239424	
1317000	80.996548	345	15.254324627990	0.222544256433	15.241786	
1318000	82.291275	919	15.319169698261	0.227581961717	15.244211	
1319000	82.637372	965	15.225046647481	0.231003977678	15.242496	
1320000	80.029803	773	15.295910149768	0.306249192759	15.241728	
1321000	83.693397	226	15.162148051189	0.245932759533	15.242600	
1322000	82.716552	907	15.235172612039	0.242305505172	15.244530	
1323000	82.680272	242	15.199869361704	0.255049944107	15.241033	
1324000	81.522452	770	15.194951483558	0.282318355954	15.243080	
1325000	80.749011	551	15.330184625893	0.282942990903	15.241309	
1326000	82.324438	363	15.096253700462	0.252382482742	15.240589	
1327000	83.466392	634	15.090276053346	0.253581321407	15.241138	
1328000	83.081911	157	15.238657741570	0.244192781374	15.243683	
1329000	80.713115	9	15.312480776926	0.242498337548	15.242243	
1330000	81.589550	614	15.256293737194	0.208377354802	15.241198	
1331000	81.076106	131	15.115532559947	0.238816406968	15.241287	
1332000	82.465170	712	15.261483460909	0.232631647600	15.241702	
1333000	80.976964	914	15.224606748050	0.289874773195	15.241173	
1334000	80.720729	898	15.322721815711	0.217070936195	15.240881	
1335000	82.406114	235	15.323667982515	0.255906006922	15.238867	
1336000	81.061848	220	15.219240174430	0.198409912657	15.244675	
1337000	81.791694	50	15.204023329949	0.217508001789	15.239817	
1338000	83.128354	683	15.224196776837	0.240261966450	15.241160	
1339000	83.849453	529	15.234675613542	0.247728439633	15.241917	
1340000	79.680926	105	15.089660444022	0.218718096928	15.241333	
1341000	82.879317	127	15.160561091999	0.246664546200	15.241376	
1342000	80.293236	496	15.266473292539	0.265746382272	15.240591	
1343000	81.442406	192	15.112937250499	0.279971631274	15.244275	
1344000	81.360456	164	15.106483871277	0.214899933019	15.244681	
1345000	84.495934	375	15.150231229411	0.244590561211	15.244520	
1346000	83.247051	681	15.201147994557	0.233335000438	15.238696	
1347000	83.307322	660	15.133707996346	0.228170998882	15.242848	
1348000	77.011730	443	14.991866915952	0.195799579658	15.242474	
1349000	82.705770	28	15.266540229563	0.265000197732	15.242345	
1350000	81.714050	909	15.185585959614	0.246957133689	15.244011	
1351000	83.638983	581	15.215528445153	0.257328347022	15.242003	
1352000	80.115129	120	15.206684504339	0.201020387828	15.240514	
1353000	78.557385	989	15.155369726503	0.327120098000	15.245011	
1354000	82.633435	264	15.133682212187	0.248607261967	15.241205	
1355000	84.473410	439	15.194650196764	0.221540403812	15.241570	
1356000	81.964041	283	15.269024717611	0.228368570254	15.241983	
1357000	82.682549	180	15.244110211493	0.236781999546	15.239325	
1358000	82.470319	735	15.279196762632	0.227009518070	15.245244	
1359000	81.533493	360	15.017743449907	0.229777092766	15.241068	
1360000	78.295602	252	15.323731938681	0.315641917023	15.242385	
1361000	79.670392	708	15.089849513697	0.312369893689	15.242525	
1362000	80.058384	50	15.065931542560	0.283462208465	15.239817	
1363000	77.930213	858	15.422648293834	0.285078930905	15.243372	
1364000	83.237045	877	15.241792922144	0.216372420444	15.242594	
1365000	82.454052	406	15.275559644264	0.263209813641	15.240414	
1366000	82.156354	406	15.190200955360	0.279205498597	15.240414	
1367000	81.798320	698	15.189905412129	0.242286176832	15.242539	
1368000	82.758919	190	15.167751654170	0.271306639293	15.242382	
1369000	82.702389	789	15.137089498758	0.261043041892	15.243681	
1370000	81.473526	357	15.149035054358	0.300875975340	15.243508	
1371000	82.554490	603	15.230800681453	0.267340331419	15.242372	
1372000	83.328064	757	15.189419521507	0.240324102784	15.242265	
1373000	82.417375	51	15.244839193954	0.253058492578	15.240938	
1374000	82.895282	813	15.232311930766	0.242840381371	15.242370	
1375000	83.525585	523	15.261920848006	0.257669753647	15.243614	
1376000	82.381308	494	15.209173609072	0.240327359167	15.243541	
1377000	81.780814	364	15.293072588661	0.287191875476	15.244122	
